20191022,OPTION YEAR FOR SPECIAL STAINER INSTRUMENTATION, ASSOCIATED REAGENTS, SERVICE, AND MAINTENANCE,DEPARTMENT OF VETERANS AFFAIRS (VA),88100.0
20191115,1260 INFINITY II ISOCRATIC PUMP, MAXIMUM PRESSURE 600BAR. INCLUDES ISOCRATIC PUMP, COLUMN, CONNECTING CAPILLARIES, SOLVENT CABINET, SOLVENT BOTTLES AND CAN CABLE. 1260 INFINITY II VARIABLE WAVELENGTH DETECTOR. FOR FAST PROGRAMMABLE SINGLE (UP TO 120,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16070.55
20191122,GAS CHROMATOGRAPH FOR THE ANALYTICAL CHEMISTRY LAB,ENVIRONMENTAL PROTECTION AGENCY (EPA),47881.86
20191125,TAPESTATION 4150 INSTRUMENT INCLUDING SOFTWARE, VORTEXER, ACCESSORIES, PLASTIC CONSUMMABLES,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),24624.9
20191202,SEAHORSE XFE96 ANALYZER MAINTENANCE AGREEMENT S/N 411017,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),17982.0
20191204,SERVICE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),24197.28
20191209,TURBO-MOLECULAR PUMP FOR NIST PML,DEPARTMENT OF COMMERCE (DOC),6753.5
20191211,AGILENT BIOANALYZER 2100,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),19785.5
20191212,AGILENT TECHNOLOGIES INC:1109692 [20-002861]- INVOICE AND PAYMENT PROVISIONSTHE FOLLOWING INVOICE AND PAYMENT PROVISIONS CLAUSE IS APPLICABLE TO ALL PURCHASE ORDERS, TASK/DELIVERY ORDERS AND BPA CALLS:   I.  INVOICE REQUIREMENTSA. AN,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),21222.5
20191212,REPAIR OF AGILENT MODEL G8601A,DEPARTMENT OF DEFENSE (DOD),2137.0
20191213,A ONE YEAR MAINTENANCE SERVICE AGREEMENT TO PROVIDE SERVICE AND PREVENTIVE MAINTENANCE FOR SRAUS GCMSS AT THE SRF IN EDGEWOOD, MD.,DEPARTMENT OF JUSTICE (DOJ),14815.68
20191216,SERVICE AGREEMENT FOR FEMTO PULSE SYSTEM  AGILENT TECHNOLOGIES INC:1109692 [20-002007],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),10992.0
20191216,PREVENTATIVE MAINTENANCE&REPAIR,DEPARTMENT OF DEFENSE (DOD),530609.16
20191216,SERVICE CONTRACT,DEPARTMENT OF JUSTICE (DOJ),5812.8
20191218,7000D QUADRUPOLE MS/MS EI/CI,ENVIRONMENTAL PROTECTION AGENCY (EPA),189672.56
20191219,AGILENT TECHNOLOGIES INC:1109692 [20-003359],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),17982.0
20191219,SERVICE AGREEMENT FOR THE AGILENT TECHNOLOGIES 7890B GAS CHROMATOGRAPH/5977A MASS SPECTROMETER SYSTEM/EI (GC/MS),ENVIRONMENTAL PROTECTION AGENCY (EPA),10210.56
20191220,SERVICE CONTRACT PR# 63-6013-20,DEPARTMENT OF DEFENSE (DOD),13590.24
20191220,GM-73042 CROSSLAB BRONZE,DEPARTMENT OF DEFENSE (DOD),96852.12
20191227,AGILENT CARY-60 MULTICELL DISSOLUTION EQUIPMENT,DEPARTMENT OF VETERANS AFFAIRS (VA),102976.0
20191230,BIOCHEMISTRY CORE REQUIRES MAINTENANCE SERVICE CONTRACT (CROSSLAB BRONZE) IN ORDER TO MAINTENANCE OF TWO LC/MS SYSTEMS.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),45916.2
20191231,IPDC CHEMISTS AT 9800 MCD REQUIRES SERVICE CONTRACT WITH AGILENT TECHNOLOGIES IN ORDER TO MAINTAIN AGILENT HPLC AND HPLC-MS INSTRUMENTATION AT 9800 MCD.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),47042.28
20200102,CROSSLAB PM / BRONZE SERVICE BY AGILENT TECHNOLOGIES FOR 5977A /7890B GC/MCD/SCD.,DEPARTMENT OF DEFENSE (DOD),9624.84
20200107,MULTIMODE MICROPLATE DETECTION SYSTEM,DEPARTMENT OF VETERANS AFFAIRS (VA),56487.03
20200113,NIDDK - CROSSLAB BRONZE,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),11661.36
20200113,WARTHIN-STARRY STAIN PN AR18111-2,DEPARTMENT OF DEFENSE (DOD),60483.1
20200113,TD100-XR WITH ELECTRONIC FLOW CONTROL MANUFACTURER: MARKES INTERNATIONAL,ENVIRONMENTAL PROTECTION AGENCY (EPA),63157.71
20200113,MAINTENANCE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),12368.97
20200115,AGILENT TECHNOLOGIES - COLUMNS  NON IN STOCK AND THE COLUMNS ARE NEEDED TO BE CUSTOM MADE.  3-4 WEEKS LEAD TIME FROM THE TIME THE ORDER IS PLACED.,DEPARTMENT OF JUSTICE (DOJ),4033.76
20200115,AGILENT TECHNOLOGIES INC:1109692 [20-003364],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),17982.0
20200115,AGILENT TECHNOLOGIES INC:1109692 [20-001365],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),24213.6
20200116,AGILENT MAINTENANCE&REPAIR BASE YEAR,DEPARTMENT OF DEFENSE (DOD),156160.08
20200121,SPECIAL STAINER TESTING FOR THE BUFFALO VA MEDICAL CENTER LABORATORY. CONTRACT PERIOD OF PERFORMANCE IS OCTOBER 1, 2020 THROUGH SEPTEMBER 30, 2025.,DEPARTMENT OF VETERANS AFFAIRS (VA),0.0
20200121,PREVENTIVE MAINTENANCE AND REPAIR SERVICE FOR AGILENT SURESCAN MICROARRAY SCANNER SYSTEM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),12096.0
20200121,AGILENT TECHNOLOGIES,DEPARTMENT OF AGRICULTURE (USDA),6159.5
20200122,AGILENT TRAINING FOR LAB TECH GC-7890-2200CV3  AGILENT TECH. 5301 STEVENS CREEK BLVD SANTA CLARA  NOTE: VENDOR DO NOT ACCEPT THE SF-182 DOCUMENT AS A FORM OF PAYMENT  HOWARD HUGHES-8008294444,DEPARTMENT OF HOMELAND SECURITY (DHS),2736.0
20200122,THIS IS FOR THE PURCHASE OF AN AGILENT GAS CHROMATOGRAPH-MASS SPECTROMETER INSTRUMENT,ENVIRONMENTAL PROTECTION AGENCY (EPA),117474.33
20200123,N4215893469531 MIXTURE,DEPARTMENT OF DEFENSE (DOD),544.5
20200127,AGILENT TECHNOLOGIES INC:1109692,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16200.0
20200127,YEARLY SERVICE CONTRACT - STARTING FEB. 1, 2020 - QUOTE NUMBER 5000741197   GC/MS-B0001-317 5 ATTACHED SERIAL NUMBERS QUOTED FOR $7,407.84 - INVOICE - MONTHLY IN ARREARS - THROUGH THE FOLLOWING - IPP VENDIR REGISTRATION WEB SITE INSTRUCTIONS.  IN,DEPARTMENT OF AGRICULTURE (USDA),7407.84
20200128,01-BRAVO LIQUID HANDLING PLATFORM W/GRIPPER SILVER MAINTENANCE AGREEMENT, S/N#SGS14BLH23308,SGS14DTH33508, SGS14DTH22702, GS07F0564X AND SGS14PLC53401. POP 02/01/2020 TO 01/31/2021,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),18969.24
20200128,MAINTENANCE CONTRACT AGILENT MASS SPECTROMETER SN SG1441B002 LCMS 6550 QTOF SYSTEM W/ ENHANCED FEATURES-1ST QUARTER ONLY,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),12000.6
20200129,N4215800099531/TOC STANDARD,DEPARTMENT OF DEFENSE (DOD),193.75
20200131,AGILENT TECHNOLOGIES INC:1109692 [20-004282],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16491.96
20200131,PREVENTIVE MAINTENANCE OF GC-MS TURBO PUMP REPAIR/REPLACE,SMITHSONIAN INSTITUTION (SI),20941.0
20200203,N4215800159543/AROCLOR STANDARD,DEPARTMENT OF DEFENSE (DOD),792.1
20200205,DE-INSTALLATION REINSTALLATION SERVICE,DEPARTMENT OF DEFENSE (DOD),9256.0
20200206,REFERENCING KAILA LAMPO'S ATTACHED GSA CONTRACTED - SERVICE CONTRACT QUOTE NUMBER 5000747664 -AGILENT TECH., INC. MODEL 2200 TAPESTATION, SERIAL NUMBER 03PM764P - FROM 2-11-20 TO 2-10-21  INSTRUMENT LOCATION ADDRESS -  USDA, ARS, NEA, APDL,DEPARTMENT OF AGRICULTURE (USDA),3433.56
20200207,TO MOVE AND RELOCATE EQUIPMENT.,DEPARTMENT OF AGRICULTURE (USDA),11705.0
20200211,SEAHORSE XFE24 CONTROLLER UPGRADE,DEPARTMENT OF VETERANS AFFAIRS (VA),11426.4
20200213,LASER DIRECT INFRARED IMAGINING SYSTEM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),298169.68
20200213,Q-TOF LIQUID CHROMATOGRAPHY HIGH RESOLUTION MASS SPECTROMETER (LC/MS),ENVIRONMENTAL PROTECTION AGENCY (EPA),480972.96
20200214,CROSSLAB SILVER SERVICE MAINTENANCE PLAN [20-015170],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),12096.0
20200218,PREVENTATIVE MAINTENANCE&REPAIR,DEPARTMENT OF DEFENSE (DOD),185349.36
20200218,MAINTENACE ON DAKO OMNIS EQUIPMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16740.0
20200226,TAPESTATION,DEPARTMENT OF VETERANS AFFAIRS (VA),28201.61
20200226,PREVENTATIVE MAINTENANCE&REPAIR,DEPARTMENT OF DEFENSE (DOD),22390.16
20200227,HISTOLOGY STAINING,DEPARTMENT OF VETERANS AFFAIRS (VA),88000.0
20200227,CROSSLAB SILVER WITH SOFTWARE SERVICE AGREEMENT ON RAPIDFIRE 365 SYSTEM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),20457.24
20200301,7800 SERIES INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY (ICP MS) SYSTEM CROSSLAB SILVER PREVENTATIVE AND CORRECTIVE MAINTENANCE SERVICE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16266.72
20200302,1260 BIO0INERT MANUAL INJECTOR AND COMPONENTS,DEPARTMENT OF VETERANS AFFAIRS (VA),24640.2
20200303,AGILENT 5973 GCMS MAINTENANCE,DEPARTMENT OF DEFENSE (DOD),9660.84
20200303,ARTISAN LINK PRO STAINERS,DEPARTMENT OF DEFENSE (DOD),10673.0
20200306,SERVICE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),23268.96
20200306,AGILENT TECHNOLOGIES INC:1109692 [20-005277],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),17982.0
20200309,PREVENTATIVE MAINTENANCE&REPAIR BASE YEAR,DEPARTMENT OF DEFENSE (DOD),125861.4
20200310,TO PURCHASE ONE REPLACEMENT TURBO PUMP AND INSTALLATION FOR  CHROMATOGRAPH SYSTEM US1321L105, MODEL #G7038A.,DEPARTMENT OF AGRICULTURE (USDA),13275.0
20200311,PREVENTATIVE MAINTENANCE&REPAIR BASE YEAR,DEPARTMENT OF DEFENSE (DOD),99892.64
20200312,SERVICE CROSSLAB BRONZE GCMS 5977 TURBO,DEPARTMENT OF DEFENSE (DOD),19069.44
20200323,PREVENTIVE MAINTENANCE AGREEMENT FOR AN AGILENT GAS CHROMOTAGRAPH (BASE + 4 1-YEAR OPTION PERIODS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),6074.16
20200324,GAS CHROMATOGRAPH,DEPARTMENT OF HOMELAND SECURITY (DHS),108960.02
20200325,ANNUAL SERVICE AGREEMENT FOR 5977 GAS CHROMATOGRAPH MASS SPECTROMETER AND GC 6890A SYSTEM,DEPARTMENT OF AGRICULTURE (USDA),10516.92
20200327,2D LIQUID CHROMATOGRAPH SYSTEM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),221309.56
20200401,SPECTROMETERS MX,DEPARTMENT OF DEFENSE (DOD),23561.28
20200401,SERVICE MAINTENANCE U433D80,DEPARTMENT OF DEFENSE (DOD),6362.52
20200406,INSTALLATION OF AGILENT SYSTEM,DEPARTMENT OF DEFENSE (DOD),4117.0
20200409,AGILENT TECHNOLOGIES INC. CROSSLAB SILVER MAINTENANCE CONTRACT ON MICROARRAY SCANNER SYSTEM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),12096.0
20200409,QTOF CROSSLAB SILVER CONTRACT, 04/09/2020 - 04/08/2021,DEPARTMENT OF AGRICULTURE (USDA),31758.24
20200409,MAINT AND REPAIR OF EQ/MAINTENANCE,DEPARTMENT OF DEFENSE (DOD),7380.84
20200409,MAINTENANCE AND REPAIR AGREEMENT RENEWAL 4200727323,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),33725.38
20200413,ILAB SUITE,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),20844.0
20200415,AGILENT TECHNOLOGIES INC:1109692 [20-006634],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),12355.2
20200415,AGILENT TECHNOLOGIES INC (AMBIS #2015331) AGILENT TECHNOLOGIES TAPESTATION 4200 INCLUDING INSTRUMENT, PC, SOFTWARE, PLASTICWARE STARTER KIT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),40929.49
20200416,MAINTENANCE CONTRACT FOR HPLC-MS SYSTEM,DEPARTMENT OF AGRICULTURE (USDA),23124.84
20200416,CROSSLAB/BRONZE SERVICE CONTRACT AND PREVENTATIVE MAINTENANCE SERVICE FOR AGILENT LC/MS SYSTEM, QUOTE #5000773685,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),17050.68
20200426,PROVIDE REPAIR AND ANNUAL PREVENTIVE MAINTENANCE FOR AGILENT TECHNOLOGY INSTRUMENTS FOR THE DEFENSE FORENSIC SCIENCE CENTER.,DEPARTMENT OF DEFENSE (DOD),140901.0
20200428,GC-NPD ANNUAL MAINTENANCE CONTRACT AND GC-MSD ANNUAL MAINTENANCE CONTRACT,DEPARTMENT OF AGRICULTURE (USDA),12517.56
20200428,MAINTENANCE AGREEMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),11715.6
20200430,GCMS WARRANTY AND MAINTENANCE,DEPARTMENT OF DEFENSE (DOD),16474.08
20200501,TURBO PUMPING STATION,DEPARTMENT OF COMMERCE (DOC),7749.0
20200501,THIS IS A DELIVERY/TASK ORDER REQUIRED TO INSTALL WINDOWS 10 SOFTWARE UPGRADES FOR THE EXISTING LABORATORY ANALYTICAL INSTRUMENTS.,ENVIRONMENTAL PROTECTION AGENCY (EPA),25775.0
20200504,ITEMS NEEDED FOR EQUIPMENT USED BY DIVERSION AND NON-DIVERSION FEE FUNDED CHEMISTS IN THE ANALYSIS OF NARCOTICS AT THE NEL.  QUOTE: 3193010,DEPARTMENT OF JUSTICE (DOJ),21742.11
20200504,SERVICE CONTRACT FOR CROSSLAB SILVER ICP-OES 5100/5110 SYSTEM.   PERIOD OF COVERAGE:  05/04/2020-05/03/2021.,DEPARTMENT OF AGRICULTURE (USDA),8065.8
20200505,ANNUAL AGILENT MS/GC SERVICE MAINTENANCE,DEPARTMENT OF AGRICULTURE (USDA),15996.36
20200505,AGILENT CROSSLAB EXTENDED SERVICE PLAN MAINTENANCE AGREEMENT FROM JUNE 1, 2020 THROUGH MAY 31, 2021. QUOTE NO. 5000753510,DEPARTMENT OF AGRICULTURE (USDA),6146.16
20200505,DNA SEQUENCING CORE NEEDS 4200 TAPESTATION SYSTEM FOR OUR SERVICE. REQUIRES DNA SEQUENCING CORE NEEDS 4200 TAPESTATION SYSTEM FOR OUR SERVICE. IN ORDER TO DNA SEQUENCING CORE NEEDS 4200 TAPESTATION SYSTEM FOR OUR SERVICE.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),39856.44
20200505,AGILENT 8860 GC SYSTEM CUSTOM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),32526.01
20200506,AGILENT GC-MS PURCHASE FOR FSL-W,DEPARTMENT OF JUSTICE (DOJ),111375.83
20200506,GAS CHROMATOGHRAPHS,DEPARTMENT OF THE INTERIOR (DOI),91667.23
20200507,ARTISAN LINK PRO STAINERS,DEPARTMENT OF DEFENSE (DOD),13957.0
20200508,SERVICE CONTRACT,SMITHSONIAN INSTITUTION (SI),15475.2
20200518,SCIENTIFIC EQUIPMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),40929.49
20200519,4150 TAPESTATION INSTRUMENT SYSTEM -- CATALOG # : G2992AA,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),26403.3
20200521,GC-MS INSTRUMENT USED FOR TOX 1 METHOD,DEPARTMENT OF AGRICULTURE (USDA),124681.03
20200521,OLIGO PRO II SYSTEM MAINTENANCE,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),8255.96
20200522,TAPESTATION 4150,DEPARTMENT OF VETERANS AFFAIRS (VA),23469.6
20200522,REFERENCING QUOTE NUMBER 3188031 - EXACTLY AS QUOTE BY MORGAN RICHARDSON - AGILENT TECHNOLOGY, INC. WILL DELIVER THE FOLLOWING - 5977B INERT PLUS MSD TURBO EI/CI BUNDLE INCLUDES EXTRACTOR EI SOURCE, CI SOURCE, DATA SYSTEM - SOFTWARE, MONITOR AND PC,,DEPARTMENT OF AGRICULTURE (USDA),114376.72
20200528,SERVICE/PM - AGILENT MINERAL ANALYZER,DEPARTMENT OF DEFENSE (DOD),8065.8
20200529,TRIPLE QUADRUPOLE MASS SPECTROMETER,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),486643.85
20200529,ARROW TOOL   U435CNN,DEPARTMENT OF DEFENSE (DOD),7694.5
20200601,HPLC,DEPARTMENT OF VETERANS AFFAIRS (VA),46887.48
20200601,SERVICE MAINTENANCE AGREEMENT FOR AGILENT 7890 GC/5977B MSD SYSTEM AND MARKES TD-100XR,ENVIRONMENTAL PROTECTION AGENCY (EPA),10787.4
20200601,2100 BIOANALYZER INSTRUMENT,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),20606.15
20200601,HPLC ABQ,DEPARTMENT OF VETERANS AFFAIRS (VA),422570.0
20200602,FTIR MAINTENANCE,DEPARTMENT OF DEFENSE (DOD),6659.88
20200603,PROCURE (1) BINARY SOLUTION PUMP FOR MIXING FLUIDS DURING MASS SPECTROMETRY TECHNIQUES TO SUPPORT THE RESEARCH OF NEURODEGENERATIVE DISEASES STUDIED IN THE IPSC NEURODEGENERATIVE DISEASES INITIATIVE (INDI) PROJECT.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),68039.75
20200603,UPGRADE TO AGILENT 710 MASS SPECTROMETER,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),36095.89
20200604,2 ICP AUTOSAMPLERS,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),19553.26
20200604,DUNS #195823570 TAX ID #770518772 QUOTE #3220309,DEPARTMENT OF JUSTICE (DOJ),7658.45
20200604,AGILENT TECHNOLOGIES TECHNICAL POC: DAVID GOLDADE 970-266-6080 MARY KIMBALL 970-980-1546 HELIUM CONSERVATION SWITCH WITH INSTALLATION,DEPARTMENT OF AGRICULTURE (USDA),8835.04
20200605,THE COMBAT CAPABILITIES DEVELOPMENT COMMAND - CHEMICAL BIOLOGICAL CENTER (CCDC-CBC) PHYSICAL SCIENCES DIVISION REQUIRES THE PURCHASE AND DELIVERY OF ONE (1) LIQUID CHROMATOGRAPHY-MASS SPECTROMETRY(LCMS) FOR CHEMICAL ANALYSIS,DEPARTMENT OF DEFENSE (DOD),212262.82
20200605,8890B / 5977B SERIES GC/MSD SYSTEM,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),173945.21
20200608,ARTISAN LINK PRO SPECIAL STAINER,DEPARTMENT OF VETERANS AFFAIRS (VA),75070.99
20200609,CROSSLAB SILVER FOR SEAHORSE XFE96 ANALYZER,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),14414.4
20200609,GCECD 2020,ENVIRONMENTAL PROTECTION AGENCY (EPA),72794.14
20200610,AGILENT TAPE STATION,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),30213.37
20200610,SPECTROPHOTOMETER,DEPARTMENT OF DEFENSE (DOD),114704.68
20200612,PN G6873AA,DEPARTMENT OF DEFENSE (DOD),107938.51
20200615,TO REPLACED THE OLD UNIT OF LC GENERATOR SYSTEM.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),291891.51
20200616,THIS FIRM FIXED PRICE TASK ORDER IS AWARDED IN ACCORDANCE WITH FAR 8.405 ORDERING AND, PURSUANT TO GSA SCHEDULE# GS-07F-0564X  FOR "CARY 630 FTIR INSTRUMENT" WITH LAPTOP PC AND RELATED ACCESSORIES AND COMPONENTS TO AGILENT TECHNOLOGIES INC,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),17255.76
20200617,AGILENT TECHNOLOGIES; TECHNICAL POC: DAVID GOLDADE 970-266-6080; IPP MARY KIMBALL 970-980-1546; 1260 INFINITY II QUATERNARY PUMP, MAXIMUM PRESSURE 600BAR.,DEPARTMENT OF AGRICULTURE (USDA),53086.82
20200618,INFINIT II ANALYTICL FRAC COLLECTO/G1364,DEPARTMENT OF DEFENSE (DOD),19184.27
20200619,UV-VIS ANALYTICAL SPECTROMETERS PREVENTATIVE MAINTENANCE,DEPARTMENT OF DEFENSE (DOD),3857.04
20200622,SINGLE QUADROPOLE GC/MSD SYSTEM,DEPARTMENT OF THE INTERIOR (DOI),118084.26
20200622,CROSSLAB SILVER EXTENDED SERVICE AGREEMENT FOR MAINTENANCE AND REPAIR,DEPARTMENT OF AGRICULTURE (USDA),7560.0
20200623,BRAVO NGS BUNDLE INCLUDES LIQUID HANDLING PLATFORM W/GRIPPER,96LT PIPETTING HEAD, DESKTOP OP PC, MONITOR,KEYBOARD,VWORKS 13.1 AUTOMATION SOFTWARE KIT ON-DECK BRAVO ACCESSORIES AND PIPETTE TIPS,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),85924.34
20200625,AGILENT INSTALLATION,DEPARTMENT OF DEFENSE (DOD),4117.0
20200625,THIS FIRM FIXED PRICE DELIVERY ORDER IS AWARDED IN ACCORDANCE WITH FAR 8.405 ORDERING AND, PURSUANT TO GSA SCHEDULE# GS-07F-0564X TO AGILENT TECHNOLOGIES INC:1109692 [20-002321] FOR LCMS SINGLE QUAD SYSTEM AND RELATED COMPONENTS AND SERVICES IN THE A,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),16491.96
20200626,AGILENT TECHNOLOGIES INC:1109692 [20-010348],DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),13814.0
20200630,AGILENT PRODUCT,DEPARTMENT OF JUSTICE (DOJ),16850.63
20200630,YEAR 2 OF 5  ANNUAL PREVENTATIVE MAINTENANCE   FOR THE FACILITIES' AGILENT TECHNOLOGIES HPLCS AND GCS,DEPARTMENT OF AGRICULTURE (USDA),92274.0
20200701,TAPESTATION SYSTEM IN ORDER TO AUTOMATED ELECTROPHORESIS SOLUTION FOR THE SAMPLE QUALITY CONTROL OF DNA AND RNA SAMPLES.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),46480.88
20200702,AGILENT MASSHUNTER GCMS SOFTWARE UPGRADE,DEPARTMENT OF AGRICULTURE (USDA),99192.43
20200702,INFINITY II BINARY PUMP,DEPARTMENT OF AGRICULTURE (USDA),33735.47
20200706,DRUGS AND BIOLOGICALS,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),13570.5
20200707,GAS CHROMATOGRAPH - TANDEM MASS SPECTROMETER (GC-MS-MS),DEPARTMENT OF THE INTERIOR (DOI),228257.24
20200709,AGILENT 5800 VDV ICP-OES,DEPARTMENT OF DEFENSE (DOD),72479.89
20200710,DNA FRAGMENT ANALYZER,DEPARTMENT OF AGRICULTURE (USDA),39202.17
20200710,1290 INFINITY II DIODE ARRAY DETECTOR,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),24359.21
20200713,LCMS REPAIR  DEA365341,DEPARTMENT OF JUSTICE (DOJ),5241.75
20200714,SEAHORSE EXTENDED WARRANTY,DEPARTMENT OF AGRICULTURE (USDA),15694.8
20200715,HUMAN GE 4X44K V2 MICROARRAY KIT, RNA SPIKE IN KIT FOR TWO COLOR V4.0, AND GENE EXPRESSION HYBRIDIZATION KITS.,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),18842.72
20200715,TAPE STATION INSTRUMENT BUNDLE,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),28166.4
20200715,OPERATION AND MAINTENANCE OF EQUIPMENT  DEA 361995 GC-FID REPAIR DELIVERY DATE CHANGED TO AUGUST 6 2020 BASED ON LATEST QUOTE,DEPARTMENT OF JUSTICE (DOJ),3796.0
